recipename,Total Fat,Saturated Fat,Cholesterol,Sodium,Potassium,Total Carbohydrates,Dietary Fiber,Protein,Sugars,Vitamin A,Vitamin C,Calcium,Iron,Thiamin,Niacin,Vitamin B6,Magnesium,Folate
baked soy lemon chops,0.32105595007244936,0.31622776601683794,0.4654746681256314,0.8867073925484099,0.3621365172733304,0.13038404810405296,0.12649110640673517,0.7362064927722385,0.1781741612749496,0.034641016151377546,0.28867513459481287,0.14832396974191325,0.3333333333333333,0.816496580927726,0.806225774829855,0.7071067811865476,0.31622776601683794,0.1224744871391589
baked spaghetti,0.7189736274183337,0.9219544457292888,0.7071067811865476,0.7216878364870323,0.458257569495584,0.4542392908295509,0.4427188724235731,0.9219544457292888,0.642416074439621,0.48908077042549936,0.22360679774997896,0.7523297149521612,0.4714045207910317,0.816496580927726,0.9746794344808963,0.0,0.45,0.6557438524302001
baked teriyaki chicken,0.3882901373576603,0.3872983346207417,0.5322906474223771,0.7308670649760233,0.27877282097486783,0.25755258362775807,0.08944271909999159,0.7028513356322231,0.7346308866924529,0.10862780491200216,0.0,0.130384048104053,0.3333333333333333,0.0,0.7416198487095663,0.0,0.282842712474619,0.15811388300841897
balsamic chicken,0.2745625891934576,0.22360679774997896,0.469041575982343,0.181429508808977,0.3,0.1807392228230128,0.08944271909999159,0.726636084983398,0.5345224838248488,0.1,0.18257418583505536,0.161245154965971,0.23570226039551584,0.0,0.9486832980505138,0.7071067811865476,0.2872281323269014,0.1224744871391589
balsamic glazed salmon fillets,0.4883252384031963,0.3872983346207417,0.5291502622129182,0.2669269563007828,0.3927922024247863,0.14719601443879746,0.0,0.7549834435270749,0.3984095364447979,0.130384048104053,0.3415650255319866,0.1673320053068151,0.23570226039551584,0.0,0.8944271909999159,0.7071067811865476,0.32015621187164245,0.30413812651491096
balsamic roasted pork loin,0.6,0.5,0.42817441928883754,0.552268050859363,0.29325756597230357,0.1016530045465127,0.06324555320336758,0.6049793384901669,0.25197631533948484,0.034641016151377546,0.12909944487358055,0.17888543819998318,0.23570226039551584,0.816496580927726,0.6324555320336759,0.0,0.21794494717703367,0.1
barbecue beef cups,0.5144077999169381,0.5477225575051661,0.39157800414902433,0.6034622330077224,0.28485585327118895,0.3286335345030997,0.15491933384829668,0.5744562646538028,0.563436169819011,0.161245154965971,0.12909944487358055,0.30331501776206204,0.3333333333333333,0.0,0.5916079783099616,0.0,0.2449489742783178,0.3122498999199199
barbecue ribs,0.6816270128269453,0.7416198487095663,0.6324555320336759,0.5458174297937605,0.3737837419073838,0.27748873851023215,0.08944271909999159,0.7733045971672482,0.7968190728895957,0.1319090595827292,0.3872983346207417,0.27568097504180444,0.408248290463863,0.0,0.7745966692414834,0.0,0.282842712474619,0.13228756555322954
barbecued beef,0.4992301766027063,0.5477225575051661,0.4654746681256314,0.4839077046985992,0.2985680109168716,0.21213203435596426,0.06324555320336758,0.6115553940568262,0.6172133998483675,0.23748684174075835,0.28867513459481287,0.13784048752090222,0.3333333333333333,0.0,0.5477225575051661,0.0,0.21794494717703367,0.15
barbeque beef casserole,0.4803844614152614,0.5,0.4,0.7164728420068226,0.3004758131459407,0.41713307229228425,0.260768096208106,0.6115553940568262,0.6172133998483675,0.3,0.4654746681256314,0.4,0.4714045207910317,0.0,0.5477225575051661,0.0,0.229128784747792,0.35
barbeque chicken,0.3351233986275687,0.31622776601683794,0.37859388972001823,0.35648749393679063,0.20701966780270628,0.13038404810405296,0.06324555320336758,0.48373546489791297,0.3563483225498992,0.189208879284245,0.18257418583505536,0.11832159566199232,0.23570226039551584,0.0,0.5,0.0,0.17320508075688773,0.1
