recipename,Total Fat,Saturated Fat,Cholesterol,Sodium,Potassium,Total Carbohydrates,Dietary Fiber,Protein,Sugars,Vitamin A,Vitamin C,Calcium,Iron,Thiamin,Niacin,Vitamin B6,Magnesium,Folate,Calories,Health Score,ratings,class_prob,labels
cranberry cinnamon and brown sugar steel cut oats,0.07538461538461537,0.1,0.02333333333333333,0.03375,0.017142857142857144,0.16666666666666666,0.196,0.12,0.6666666666666666,0.0152,0.0,0.053,0.1111111111111111,0.0,0.0,0.0,0.015,0.005,262,-1.6331807426666671,3.8667144834007234,0.9999999997816502,1
cranberry pot roast by michelle,0.5569230769230771,0.7,0.41,0.17916666666666667,0.18942857142857145,0.08133333333333333,0.068,0.598,0.5079365079365079,0.0396,0.06666666666666668,0.027000000000000003,0.2222222222222222,0.0,0.5,0.5,0.1,0.04,552,-6.093377947999997,3.7376723248621984,0.5106101395118379,2
cranberry stuffed game hens,0.5861538461538461,0.6,0.6566666666666666,0.12375,0.10257142857142858,0.08666666666666667,0.06,0.516,0.3809523809523809,0.1336,0.06666666666666668,0.049,0.1111111111111111,0.0,0.55,0.0,0.0775,0.1025,549,-5.767716001333334,4.292055393864544,0.6325109326518473,2
crawfish pie,0.2815384615384616,0.35,0.2633333333333333,0.35208333333333336,0.09028571428571427,0.06766666666666668,0.096,0.20800000000000002,0.06349206349206349,0.1324,0.2833333333333333,0.048,0.1111111111111111,0.0,0.25,0.0,0.07,0.155,286,-4.934572912,4.419092256020586,0.6962469290534571,3
crazy delicious turkey meatloaf,0.14461538461538462,0.1,0.28,0.1175,0.07628571428571429,0.04066666666666666,0.048,0.5,0.06349206349206349,0.2414,0.4833333333333333,0.045,0.16666666666666666,0.0,0.45,0.0,0.06,0.0325,232,1.0429608346666668,4.081255638398524,0.9352888909356588,0
creamy bay scallop spaghetti,0.5153846153846153,0.9,0.5533333333333333,0.23875,0.18971428571428567,0.17700000000000002,0.084,0.7559999999999999,0.06349206349206349,0.2856,0.08333333333333333,0.118,0.2777777777777778,0.6666666666666666,0.3,0.0,0.0925,0.3475,671,-7.691526927999999,4.172820866326751,0.8747107974197944,2
creamy bruschetta chicken,0.13846153846153847,0.15,0.22666666666666666,0.20375,0.10771428571428572,0.114,0.096,0.6,0.09523809523809523,0.182,0.2,0.133,0.05555555555555555,0.0,0.6,0.0,0.0825,0.045,345,0.1810800066666665,4.125306674460727,0.7934482327236425,3
creamy chicken bog with a kick,0.2353846153846154,0.2,0.31,0.7066666666666667,0.08800000000000001,0.2006666666666667,0.07200000000000001,0.59,0.12698412698412698,0.1354,0.6833333333333333,0.051,0.2222222222222222,0.0,0.45,0.0,0.095,0.405,511,-4.648157218666668,4.221727260482975,0.9512808611013062,3
creamy crabby pasta,0.21384615384615385,0.35,0.15666666666666668,0.3229166666666667,0.10885714285714286,0.19033333333333333,0.156,0.324,0.2857142857142857,0.2462,0.15,0.124,0.16666666666666666,0.0,0.3,0.0,0.1575,0.365,410,-4.8676573560000005,4.074675985723683,0.8290788793816464,3
creamy meatball sub casserole,0.3446153846153846,0.5,0.20333333333333334,0.38416666666666666,0.11514285714285714,0.14200000000000002,0.14,0.38799999999999996,0.2222222222222222,0.1426,0.03333333333333333,0.249,0.16666666666666666,0.0,0.5,0.0,0.1075,0.32,452,-6.161515421333332,4.427971175260256,0.94794966481796,3
